基金代码,基金简称,基金类型,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,fetch_date
160514,博时稳健回报债券(LOF)C,债券型-混合一级,1.8987,08-31,开放申购,开放赎回,,10.0,10000000000.0,0.0,20260901
160515,博时安丰18个月定开债A,债券型-长债,1.0368,08-31,暂停申购,暂停赎回,2027-07-16,10.0,100000000000.0,0.06,20260901
160516,博时证券公司ETF联接A,指数型-股票,1.3659,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.1,20260901
160517,博时中证银行ETF联接A,指数型-股票,1.8523,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.1,20260901
160518,博时睿远,混合型-灵活,2.619,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160523,博时安丰18个月定开债C,债券型-长债,1.0049,08-31,暂停申购,暂停赎回,2027-07-16,10.0,100000000000.0,0.0,20260901
160526,博时优势企业灵活配置混合A,混合型-灵活,1.3494,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160527,博时研究优选混合(LOF)A,混合型-灵活,0.8034,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160528,博时研究优选混合(LOF)C,混合型-灵活,0.7669,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.0,20260901
160529,博时创业板两年定开混合,混合型-偏股,1.5216,08-31,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,20260901
160602,鹏华普天债券A,债券型-混合一级,1.4077,08-31,限购10万,开放赎回,,10.0,100000.0,0.08,20260901
160603,鹏华普天收益混合,混合型-偏股,2.923,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.14,20260901
160605,鹏华中国50混合,混合型-灵活,3.052,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160606,鹏华货币A,货币型-普通货币,0.2408,08-31,限购100万,开放赎回,,10.0,1000000.0,0.0,20260901
160607,鹏华价值优势混合(LOF),混合型-偏股,0.856,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160608,鹏华普天债券B,债券型-混合一级,1.3356,08-31,限购10万,开放赎回,,10.0,100000.0,0.0,20260901
160609,鹏华货币B,货币型-普通货币,0.3065,08-31,暂停申购,开放赎回,,5000000.0,1000000.0,0.0,20260901
160610,鹏华动力增长混合(LOF),混合型-灵活,1.299,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160611,鹏华优质治理混合(LOF)A,混合型-偏股,1.3219,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160612,鹏华丰收债券B,债券型-混合二级,1.079,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.08,20260901
160613,鹏华盛世创新混合(LOF)A,混合型-偏股,1.2234,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160615,鹏华沪深300ETF联接(LOF)A,指数型-股票,1.4153,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160616,鹏华中证500指数(LOF)A,指数型-股票,2.366,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160617,鹏华丰润债券(LOF),债券型-混合一级,1.1138,08-31,限购1万,开放赎回,,10.0,10000.0,0.08,20260901
160618,鹏华丰泽债券(LOF)C,债券型-混合一级,1.6317,08-31,限购1000万,开放赎回,,10.0,10000000.0,0.0,20260901
160620,鹏华中证A股资源产业指数(LOF)A,指数型-股票,2.9783,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160621,鹏华丰和债券(LOF)A,债券型-混合二级,1.4094,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.08,20260901
160622,鹏华丰利债券(LOF)A,债券型-混合一级,1.148,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.08,20260901
160624,鹏华消费领先混合,混合型-灵活,3.404,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160625,鹏华中证800证券保险指数(LOF)A,指数型-股票,0.8566,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160626,鹏华中证信息技术指数(LOF)A,指数型-股票,1.6714,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160627,鹏华策略优选灵活配置混合,混合型-灵活,2.648,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160628,鹏华中证800地产指数(LOF)A,指数型-股票,0.4725,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160629,鹏华中证传媒指数(LOF)A,指数型-股票,1.0642,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160630,鹏华中证国防指数(LOF)A,指数型-股票,0.9971,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160631,鹏华中证银行指数(LOF)A,指数型-股票,1.3965,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160632,鹏华酒A,指数型-股票,0.2633,08-31,限购20万,开放赎回,,10.0,200000.0,0.12,20260901
160633,鹏华中证全指证券公司指数(LOF)A,指数型-股票,1.0897,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160634,鹏华中证环保产业指数(LOF)A,指数型-股票,1.1816,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160635,鹏华中证医药指数(LOF)A,指数型-股票,0.8883,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160636,鹏华中证移动互联网指数(LOF)A,指数型-股票,1.3144,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160637,鹏华创业板指数(LOF)A,指数型-股票,1.5923,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160638,鹏华中证一带一路主题指数(LOF)A,指数型-股票,3.0719,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160639,鹏华中证高铁产业指数(LOF)A,指数型-股票,0.8469,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160641,鹏华丰锐债券LOF,债券型-混合二级,105.3188,08-31,开放申购,开放赎回,,1000.0,100000000000.0,0.08,20260901
160642,鹏华增瑞混合(LOF)A,混合型-灵活,2.684,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160643,鹏华空天军工指数(LOF)A,指数型-股票,1.1911,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160644,鹏华港美互联股票人民币,QDII-普通股票,1.777,08-28,暂停申购,开放赎回,,10.0,10000.0,0.15,20260901
160646,鹏华中证沪港深科技龙头指数(LOF)A,指数型-股票,1.1085,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160706,嘉实沪深300ETF联接A,指数型-股票,1.1981,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
